DISPUTE_ID,Customer_ID,Transaction_Date,Chargeback_Date,DISPUTE_TYPE,PRODUCT_TYPE,Amount,Merchant_ID,Customer_Documentation,ASSIGNED_STAFF,STATUS,CUSTOMER_STATEMENT,Outcome,Decision_Date,Resolution Time,Fraud_Indicator
DS000010,C000063,2020-01-11 23:18:11.891891891,2020-03-04 23:18:11.891891891,Fraudulent Transaction,Pet Supplies,46583.85,MC000077,Terms and Conditions,Staff_252,Rejected,"I recently received a chargeback for a purchase I made at a pet store. The product I purchased was a pet leash, and the chargeback was due to fraudulent activity. I am extremely upset about this situation, as I have always had positive experiences with the store and have never had any issues with their products",resolved in favor of merchant,2020-06-20 23:18:11.891891891,0,True
DS000011,C000063,2020-01-13 01:38:01.081081081,2020-03-22 01:38:01.081081081,Identity Theft,Baby care,41152.22,MC000001,Receipt,Staff_183,Pending,"I recently purchased a baby care product from an online retailer and received it in damaged packaging. The product was also not in the condition that I had expected, and I was disappointed with the overall quality. I contacted the retailer to inquire about a return or exchange, but they refused to accommodate my request. I",resolved in favor of merchant,2020-04-13 01:38:01.081081081,0,True
DS000012,C000093,2020-01-14 03:57:50.270270270,2020-02-20 03:57:50.270270270,Identity Theft,Sports Equipments,76590.88,MC000068,Photos/Videos,Staff_189,Rejected,I just want to return this item because I got a better offer.,resolved in favor of merchant,2020-06-29 03:57:50.270270270,0,True
DS000013,C000067,2020-01-15 06:17:39.459459459,2020-01-31 06:17:39.459459459,Service Not Rendered,Groceries,20788.19,MC000007,Fraud Report,Staff_291,Resolved,"I ordered groceries from a popular online store for delivery. However, when I received the package, I was shocked to find that all the items were damaged and inedible. The milk was sour, the eggs were broken, and the bread was stale. I immediately contacted the customer service team and explained the",resolved in favor of merchant,2020-03-22 06:17:39.459459459,51,False
DS000014,C000056,2020-01-16 08:37:28.648648648,2020-02-21 08:37:28.648648648,Identity Theft,Pet Supplies,40699.19,MC000056,Correspondence,Staff_117,Rejected,I am writing to dispute this transaction. I did not make this purchase and I am not sure how it got on my account. I would like to have this charge removed from my account and I hope that you can help me with this. Thank you for your time and I am looking forward to your response.,resolved in favor of merchant,2020-08-21 08:37:28.648648648,0,False
DS000015,C000039,2020-01-17 10:57:17.837837837,2020-03-10 10:57:17.837837837,Incorrect Amount Charged,Beauty and Personal Care,64323.66,MC000032,Service Agreement,Staff_090,Pending,I had purchased a product from Merchant_090. The transaction was made on 2020-01-17 10:57:17.837837837 and the transaction amount was 64323.66. However,resolved in favor of member,2020-08-10 10:57:17.837837837,0,True
DS000016,C000069,2020-01-18 13:17:07.027027027,2020-03-19 13:17:07.027027027,Services Rendered but Unsatisfactory,Automotive Appliances,38987.12,MC000059,Correspondence,Staff_013,Resolved,The purchase was not satisfactory. The product was defective and did not perform as advertised. I am dissatisfied with the purchase and would like a refund.,resolved in favor of merchant,2020-07-03 13:17:07.027027027,106,False
DS000017,C000032,2020-01-19 15:36:56.216216216,2020-04-04 15:36:56.216216216,Canceled Transaction,Sports Equipments,375.07,MC000095,Bank Statement,Staff_362,Resolved,"I recently purchased a sports equipment from a local store and was charged $375.07 for it. However, I noticed that the product was not what I had ordered. It was a different color and model than what I had selected. I contacted the store and informed them about this issue, and they agreed",resolved in favor of merchant,2020-05-06 15:36:56.216216216,32,True
DS000018,C000004,2020-01-20 17:56:45.405405405,2020-04-12 17:56:45.405405405,Product Defective,Furniture,53939.66,MC000097,Receipt,Staff_287,Pending,"I recently purchased a chair from the merchant, and I was not satisfied with the quality of the product. The chair was made of cheap materials and the fabric was worn and faded. I decided to return the chair to the merchant and request a refund. The merchant was unresponsive and refused to provide a refund. I",resolved in favor of member,2020-06-03 17:56:45.405405405,0,False
DS000019,C000044,2020-01-21 20:16:34.594594594,2020-03-06 20:16:34.594594594,Lack of Disclosure,Sports Equipments,6687.18,MC000096,No Documentation Provided,Staff_151,Rejected,"I recently purchased a pair of basketball shoes from Merchant ID MC000096 and was charged $6687.18 on my credit card statement. However, when I received the product, it was not what I ordered. The shoes were of poor quality and did not meet my expectations.",resolved in favor of member,2020-04-20 20:16:34.594594594,0,False
DS000020,C000017,2020-01-22 22:36:23.783783783,2020-04-09 22:36:23.783783783,Product Defective,Furniture,51553.06,MC000077,Fraud Report,Staff_280,Rejected,"I recently ordered a couch from an online furniture store and I was shocked when it arrived. The fabric was all ripped and the cushions were falling apart. I contacted the customer service department and they said they would investigate the issue but never got back to me. After a few weeks, I received an email from the company",resolved in favor of merchant,2020-04-23 22:36:23.783783783,0,True
DS000021,C000040,2020-01-24 00:56:12.972972973,2020-03-05 00:56:12.972972973,Lack of Disclosure,Health and Hygiene,28232.23,MC000010,Photos/Videos,Staff_224,Resolved,I am very disappointed with the purchase of this product. The item was not as described and I feel misled by the merchant. I would not recommend purchasing this item to anyone else.,resolved in favor of member,2020-06-24 00:56:12.972972973,111,False
DS000022,C000048,2020-01-25 03:16:02.162162162,2020-04-07 03:16:02.162162162,Merchant Error,Baby care,58089.7,MC000045,Identity Verification Documents,Staff_039,New,"Hello Sir/Madam,\n\nDear Sir/Madam,\n\nThank you for contacting us at Baby care. We appreciate your feedback and are sorry to hear that you were disappointed with our product. We would like to understand your concern and address it as soon as possible. Please provide us",resolved in favor of merchant,2020-07-03 03:16:02.162162162,0,True
DS000023,C000064,2020-01-26 05:35:51.351351351,2020-02-02 05:35:51.351351351,Services Rendered but Unsatisfactory,Health and Hygiene,99516.18,MC000006,Service Agreement,Staff_063,Resolved,I am disappointed with the service I received from the merchant. The product I ordered from them was of poor quality and did not meet my expectations. The merchant did not respond to my queries and I feel cheated. I have requested a chargeback on the amount and I hope that the matter will be resolved soon.,resolved in favor of merchant,2020-02-08 05:35:51.351351351,6,True
DS000024,C000011,2020-01-27 07:55:40.540540540,2020-03-08 07:55:40.540540540,Billing Descriptor Issue,Health and Hygiene,3039.71,MC000052,No Documentation Provided,Staff_201,Resolved,I am writing this review because I was charged for a product that I never ordered. I am very upset about this because I have never ordered anything from this merchant and do not know why they have charged me for something I did not purchase. I have contacted my card provider and they have told me that the amount given to,resolved in favor of merchant,2020-08-09 07:55:40.540540540,154,False
DS000025,C000023,2020-01-28 10:15:29.729729729,2020-03-09 10:15:29.729729729,Fraudulent Transaction,Art and Craft,94684.16,MC000017,Fraud Report,Staff_053,Resolved,"I ordered an art and craft product from a merchant, but I received an item that was not what I ordered. I went through the return process, but it was not resolved. I have been charged a chargeback fee and have asked for a refund. The merchant's response was unsatisfactory, and I have",resolved in favor of member,2020-08-06 10:15:29.729729729,150,False
DS000026,C000053,2020-01-29 12:35:18.918918919,2020-04-10 12:35:18.918918919,Unauthorized Recurring Charge,Fashion hub,11661.64,MC000053,Correspondence,Staff_020,Pending,"I am a customer of MC000053 for a period of 2 years since 2018-10-10. I have been a satisfied customer of their products and services in the past. But recently, I have faced an issue with my subscription renewal, which has caused",resolved in favor of merchant,2020-08-21 12:35:18.918918919,0,False
DS000027,C000086,2020-01-30 14:55:08.108108108,2020-04-05 14:55:08.108108108,Lack of Disclosure,Furniture,50957.63,MC000035,Terms and Conditions,Staff_325,Pending,"I am writing to inform you that I have received your order for a piece of furniture from your company. I was very excited to receive it, but upon arrival, I was disappointed to find that it was not as described. The product was not the color I had ordered, and it was also not the size I had",resolved in favor of member,2020-09-13 14:55:08.108108108,0,False
DS000028,C000056,2020-01-31 17:14:57.297297297,2020-02-13 17:14:57.297297297,Incorrect Amount Charged,Fashion hub,48665.85,MC000073,Service Agreement,Staff_345,Rejected,"I am writing this review to express my dissatisfaction with the service I received from the fashion hub. I recently purchased a product from them, but the amount was incorrect. I was expecting to be charged $48.66, but I was charged $486.66 instead. This is a",resolved in favor of merchant,2020-03-06 17:14:57.297297297,0,True
DS000029,C000066,2020-02-01 19:34:46.486486486,2020-02-19 19:34:46.486486486,Billing Descriptor Issue,Groceries,90099.66,MC000014,Bank Statement,Staff_266,New,"I am writing to dispute the transaction for $90,099.66 that was charged to my account on February 1, 2020, at the grocery store ""MC000014"". The transaction was charged on my credit card, and I never authorized it. I",resolved in favor of merchant,2020-07-10 19:34:46.486486486,0,False
DS000030,C000005,2020-02-02 21:54:35.675675675,2020-03-21 21:54:35.675675675,Unrecognized Transaction,Electronics,19624.22,MC000055,Identity Verification Documents,Staff_339,Pending,"I made a purchase with my credit card on 2020-02-02 21:54:35.675675675. The transaction was for $19624.22 and the product was electronics. However, the purchase",resolved in favor of merchant,2020-06-16 21:54:35.675675675,0,False
DS000031,C000077,2020-02-04 00:14:24.864864865,2020-02-18 00:14:24.864864865,Identity Theft,Home essentials,82932.14,MC000096,Photos/Videos,Staff_117,New,"I recently purchased a set of home essentials from a well-known retailer. However, when I received the package, I discovered that some of the items were damaged or missing. I contacted the retailer's customer service department to inform them of the issue, but they were unable to resolve the problem to my",resolved in favor of merchant,2020-06-06 00:14:24.864864865,0,False
DS000032,C000007,2020-02-05 02:34:14.054054054,2020-04-25 02:34:14.054054054,Return Policy Violation,Beauty and Personal Care,87336.73,MC000032,Service Agreement,Staff_009,Pending,I purchased a beauty product from this merchant and was not satisfied with the product. The product was not as described and I was not happy with the customer service and the way they handled my case. The product was not in the condition that I had expected and I would not recommend this company to anyone.,resolved in favor of merchant,2020-06-21 02:34:14.054054054,0,True
DS000033,C000039,2020-02-06 04:54:03.243243243,2020-04-28 04:54:03.243243243,Incorrect Amount Charged,Health and Hygiene,56014.86,MC000036,Receipt,Staff_036,New,Customer is disputing the charge with a reason of incorrect amount charged. The product type is Health and Hygiene. The dispute type is Incorrect Amount Charged.,resolved in favor of member,2020-10-08 04:54:03.243243243,0,False
DS000034,C000053,2020-02-07 07:13:52.432432432,2020-04-06 07:13:52.432432432,Merchant Error,Electronics,95892.45,MC000013,Photos/Videos,Staff_108,Rejected,"Dear Customer,",resolved in favor of merchant,2020-09-05 07:13:52.432432432,0,True
DS000035,C000000,2020-02-08 09:33:41.621621621,2020-03-17 09:33:41.621621621,Unrecognized Transaction,Electronics,22667.73,MC000057,Terms and Conditions,Staff_393,Resolved,The product I purchased from your store was not what I expected. It was delivered with a defect and I have been unable to use it. I am asking for a refund of the purchase price and any shipping costs.,resolved in favor of member,2020-04-09 09:33:41.621621621,23,True
DS000036,C000049,2020-02-09 11:53:30.810810811,2020-02-23 11:53:30.810810811,Canceled Transaction,Automotive Appliances,98851.76,MC000089,Terms and Conditions,Staff_016,Pending,"I recently purchased a set of car speakers from a local electronics store. I was very excited to install them in my car, but when I got home and started installing them, I quickly realized that they were not compatible with my car's audio system. I tried to contact the store to see if they could",resolved in favor of merchant,2020-07-12 11:53:30.810810811,0,False
DS000037,C000074,2020-02-10 14:13:20.000000000,2020-05-05 14:13:20.000000000,Merchant Error,Footwear,95331.65,MC000093,Terms and Conditions,Staff_200,Resolved,"I recently purchased a pair of sandals from your online store and was disappointed with the quality. The sandals were made of cheap, flimsy materials and did not last long. I would not recommend this product to anyone looking for a durable and comfortable pair of sandals.",resolved in favor of merchant,2020-09-03 14:13:20.000000000,121,False
DS000038,C000091,2020-02-11 16:33:09.189189189,2020-03-31 16:33:09.189189189,Product Defective,Sports Equipments,31378.18,MC000066,No Documentation Provided,Staff_033,New,"I ordered a pair of shoes from this merchant, but when I received them, they were not the ones I had ordered. I contacted the merchant and explained the situation, but they refused to refund my money or send me the correct shoes. I am very disappointed in their customer service and will not be ordering from them again",resolved in favor of member,2020-05-31 16:33:09.189189189,0,True
DS000039,C000081,2020-02-12 18:52:58.378378378,2020-04-03 18:52:58.378378378,Fraudulent Transaction,Home essentials,62477.98,MC000012,Bank Statement,Staff_253,Resolved,I am writing this review to inform you that I have received a chargeback for this transaction. I would like to request a refund of the amount charged for this transaction. The reason for the chargeback is that the product was not as described and I was not satisfied with the quality. I did not authorize this transaction,resolved in favor of member,2020-09-30 18:52:58.378378378,180,True
DS000040,C000093,2020-02-13 21:12:47.567567567,2020-02-27 21:12:47.567567567,Failure to Receive Credit,Pet Supplies,95451.1,MC000063,Identity Verification Documents,Staff_384,Rejected,"I ordered a 10 pack of dog treats on 2020-02-13 21:12:47.567567567 and paid 95451.1, but I never received them. The store refused to provide a",resolved in favor of member,2020-08-20 21:12:47.567567567,0,False
DS000041,C000051,2020-02-14 23:32:36.756756756,2020-03-07 23:32:36.756756756,Unauthorized Recurring Charge,Home essentials,4970.28,MC000035,Identity Verification Documents,Staff_185,New,"Dear Customer Service,",resolved in favor of member,2020-06-09 23:32:36.756756756,0,False
DS000042,C000058,2020-02-16 01:52:25.945945946,2020-04-15 01:52:25.945945946,Product Defective,Groceries,76852.26,MC000024,Receipt,Staff_175,Resolved,"Hello there, I am reaching out to resolve a dispute that has been raised on my account. I recently purchased a product from your store, and I was disappointed to find that it was defective. The item did not work as advertised, and it caused me significant inconvenience. I would like to request a",resolved in favor of member,2020-07-28 01:52:25.945945946,104,True
DS000043,C000024,2020-02-17 04:12:15.135135135,2020-04-19 04:12:15.135135135,Fraudulent Transaction,Sports Equipments,27281.65,MC000085,Receipt,Staff_045,Rejected,The customer is claiming that the product received was not as described and is asking for a refund.,resolved in favor of member,2020-06-17 04:12:15.135135135,0,False
DS000044,C000034,2020-02-18 06:32:04.324324324,2020-03-21 06:32:04.324324324,Identity Theft,Electronics,38120.12,MC000066,Identity Verification Documents,Staff_095,Pending,"I was scammed by the merchant. They sent me a laptop, but it was not working properly. The screen was flickering and it was completely unresponsive. I am requesting a refund from the merchant.",resolved in favor of merchant,2020-05-20 06:32:04.324324324,0,False
DS000045,C000006,2020-02-19 08:51:53.513513513,2020-04-08 08:51:53.513513513,Incorrect Amount Charged,Groceries,54141.83,MC000038,No Documentation Provided,Staff_134,Pending,"I recently made a purchase from this merchant, and I am not at all pleased with the experience. When I received the product, I found it to be in a damaged condition and not of the quality I was expecting. The product was not what I had ordered, and I am disappointed with the entire transaction. I tried",resolved in favor of member,2020-09-01 08:51:53.513513513,0,False
DS000046,C000014,2020-02-20 11:11:42.702702702,2020-04-10 11:11:42.702702702,Incorrect Amount Charged,Beauty and Personal Care,57272.4,MC000039,Photos/Videos,Staff_101,Pending,"I purchased a set of makeup brushes from a popular makeup store, but when I received them, they were not the ones I had ordered. The brushes were of poor quality and did not match the description on the website. This was frustrating because I had expected to receive high-quality brushes that would last",resolved in favor of member,2020-06-10 11:11:42.702702702,0,True
DS000047,C000098,2020-02-21 13:31:31.891891892,2020-04-25 13:31:31.891891892,Failure to Receive Credit,Footwear,96027.73,MC000043,Bank Statement,Staff_398,Resolved,"I placed an order for a pair of shoes from the merchant's website on February 21, 2020. When the shoes arrived, I was disappointed to find that they did not fit properly and were not of the quality I had expected. I tried to return the shoes to the merchant, but",resolved in favor of member,2020-09-13 13:31:31.891891892,141,False
DS000048,C000086,2020-02-22 15:51:21.081081081,2020-02-29 15:51:21.081081081,Unauthorized Recurring Charge,Toys and Games,85274.81,MC000069,Receipt,Staff_310,Pending,"I am very disappointed with the company who sold me this product. The product was supposed to be a toy, but it was actually a very cheaply made item. I have tried to contact the company multiple times, but they have not responded to my emails or phone calls. I feel like this company, Outcome:",resolved in favor of merchant,2020-05-31 15:51:21.081081081,0,True
DS000049,C000062,2020-02-23 18:11:10.270270270,2020-03-12 18:11:10.270270270,Failure to Receive Credit,Toys and Games,90263.68,MC000078,Photos/Videos,Staff_200,Pending,"I recently attempted to purchase a toy from a popular online retailer, however, I encountered some issues. The toy was not credited to my account and when I contacted the company's customer service team, they were unable to assist me in resolving the issue. Despite multiple attempts to contact them, I have not",resolved in favor of member,2020-07-03 18:11:10.270270270,0,True
DS000050,C000044,2020-02-24 20:30:59.459459459,2020-03-27 20:30:59.459459459,Service Not Rendered,Fashion hub,73586.64,MC000095,Terms and Conditions,Staff_272,New,"After receiving my purchase from Fashion hub, I was disappointed to find that the quality of the product was not as described. The item was not what I had ordered and was not up to the standard I had expected. I had purchased a service from Fashion hub, and was expecting a top quality product, but what",resolved in favor of member,2020-06-03 20:30:59.459459459,0,False
DS000051,C000012,2020-02-25 22:50:48.648648649,2020-05-22 22:50:48.648648649,Product Defective,Sports Equipments,66574.24,MC000028,Identity Verification Documents,Staff_143,Rejected,"As a customer, I was disappointed with the product I received from this merchant. I had ordered a sports equipment, but the product that was delivered was defective and did not meet my expectations. I have tried to contact the merchant multiple times to resolve this issue, but they have been unresponsive and unhelpful",resolved in favor of merchant,2020-09-12 22:50:48.648648649,0,True
DS000052,C000067,2020-02-27 01:10:37.837837838,2020-04-29 01:10:37.837837838,Canceled Transaction,Electronics,62421.28,MC000076,Fraud Report,Staff_021,Pending,"I ordered an electronic product from this merchant, but when I received it, I realized that it was not the one I had ordered. I contacted the customer service, but they were unresponsive. So, I decided to file a chargeback.",resolved in favor of merchant,2020-06-27 01:10:37.837837838,0,True
DS000053,C000045,2020-02-28 03:30:27.027027027,2020-05-13 03:30:27.027027027,Fraudulent Transaction,Sports Equipments,36103.91,MC000055,Receipt,Staff_024,Pending,"I am writing this review to inform the company that they have been selling fake sports items to their customers. I ordered a pair of soccer shoes from Sports Depot on February 28, 2020. I received them on March 3, 2020, and they were exactly as described",resolved in favor of merchant,2020-08-29 03:30:27.027027027,0,False
DS000054,C000075,2020-02-29 05:50:16.216216216,2020-05-16 05:50:16.216216216,Product Defective,Footwear,71419.91,MC000068,Receipt,Staff_119,New,"I recently purchased a pair of sneakers from an online store and was excited to receive them. However, when I received the package, I was disappointed to find that the shoes were not what I had ordered. Instead of the black sneakers I had chosen, I received a pair of black boots. The boots are not",resolved in favor of merchant,2020-07-20 05:50:16.216216216,0,True
DS000055,C000078,2020-03-01 08:10:05.405405405,2020-04-27 08:10:05.405405405,Billing Descriptor Issue,Footwear,18592.51,MC000083,Bank Statement,Staff_319,Pending,"The purchase of Footwear from MC000083 was made on 2020-03-01 08:10:05.405405405, and the transaction amount was 18592.51. However,",resolved in favor of member,2020-05-24 08:10:05.405405405,0,False
DS000056,C000096,2020-03-02 10:29:54.594594594,2020-05-25 10:29:54.594594594,Incorrect Amount Charged,Electronics,86547.8,MC000085,Terms and Conditions,Staff_171,Pending,"I recently purchased an electronics item from a large online retailer, and I was charged an additional $865.48 to my account. The charge was listed as ""incorrect amount charged"", and I was unaware of the additional charge until I received my credit card statement. I contacted the retail",resolved in favor of member,2020-08-28 10:29:54.594594594,0,False
DS000057,C000077,2020-03-03 12:49:43.783783784,2020-03-26 12:49:43.783783784,Product Defective,Electronics,59151.13,MC000071,Service Agreement,Staff_378,Pending,"I purchased a smart TV from a well-known electronics store. The product arrived with a broken screen, and I was unable to use it. I contacted the merchant's customer service department and explained the issue, but they were unhelpful and refused to take responsibility for the defective product. I was frustrated",resolved in favor of member,2020-08-01 12:49:43.783783784,0,True
DS000058,C000010,2020-03-04 15:09:32.972972973,2020-04-05 15:09:32.972972973,Product Defective,Beauty and Personal Care,45634.58,MC000006,Photos/Videos,Staff_149,Rejected,"I ordered a defective product from this online store and tried to get it replaced. However, the store refused my request and claimed that the product was not defective. I tried to get my money back, but the store refused to issue a refund. I contacted the bank and filed a chargeback, which was successful",resolved in favor of member,2020-06-06 15:09:32.972972973,0,False
DS000059,C000085,2020-03-05 17:29:22.162162162,2020-03-22 17:29:22.162162162,Return Policy Violation,Automotive Appliances,90802.64,MC000071,Receipt,Staff_362,Pending,"I bought a car in January 2020 and it was a great deal. I paid $90,802.64 for the car. I made my purchase on March 5, 2020 at 17:29:22.1. I was very",resolved in favor of member,2020-04-24 17:29:22.162162162,0,False
DS000060,C000075,2020-03-06 19:49:11.351351351,2020-05-22 19:49:11.351351351,Fraudulent Transaction,Fashion hub,48749.89,MC000095,Identity Verification Documents,Staff_004,Pending,"I have to say that I was very impressed with the quality of the product. I ordered a shirt from Fashion hub on 2020-03-06 19:49:11.351351351, and it was exactly as described. The",resolved in favor of merchant,2020-06-17 19:49:11.351351351,0,True
DS000061,C000082,2020-03-07 22:09:00.540540540,2020-05-29 22:09:00.540540540,Return Policy Violation,Groceries,60981.9,MC000067,Photos/Videos,Staff_037,Pending,"I recently purchased a set of groceries from this merchant and was charged for it. However, when I received the groceries, they were not what I had ordered. I contacted the merchant to request a refund, but they refused to give me one. I then filed a chargeback dispute.",resolved in favor of merchant,2020-08-16 22:09:00.540540540,0,False
DS000062,C000078,2020-03-09 00:28:49.729729730,2020-03-11 00:28:49.729729730,Product Defective,Furniture,66729.8,MC000083,Terms and Conditions,Staff_313,Pending,"I am writing this review to express my disappointment with the product I purchased from Furniture Store. I ordered a sofa from their online store and was excited to receive it. However, when the sofa arrived, I was shocked to find that it was defective. The fabric was torn, and the cushions were l",resolved in favor of member,2020-09-08 00:28:49.729729730,0,True
DS000063,C000084,2020-03-10 02:48:38.918918919,2020-05-28 02:48:38.918918919,Lack of Disclosure,Footwear,96583.98,MC000048,Fraud Report,Staff_390,Pending,"I recently purchased a pair of shoes from [Redacted] on May 28th, 2020. The shoes were supposed to be a size 7.5, but when I received them, they were actually a size 6. I was very disappointed, as I had to return them",resolved in favor of merchant,2020-11-24 02:48:38.918918919,0,False
DS000064,C000013,2020-03-11 05:08:28.108108108,2020-05-29 05:08:28.108108108,Product Defective,Baby care,55987.06,MC000092,Receipt,Staff_331,New,"I recently purchased a baby care product from a merchant, and was disappointed with the quality and functionality of the product. Upon receiving the product, I noticed that it was not functioning as advertised. The product was defective and did not meet the standards of quality that I expected. I attempted to contact the merchant to resolve",resolved in favor of merchant,2020-08-22 05:08:28.108108108,0,False
DS000065,C000088,2020-03-12 07:28:17.297297297,2020-03-24 07:28:17.297297297,Incorrect Amount Charged,Groceries,9697.58,MC000012,Receipt,Staff_160,Pending,The charge for the product I bought was not correct. I bought Groceries from a merchant with the ID: MC000012.,resolved in favor of merchant,2020-06-17 07:28:17.297297297,0,True
DS000066,C000024,2020-03-13 09:48:06.486486486,2020-05-24 09:48:06.486486486,Billing Descriptor Issue,Sports Equipments,43647.35,MC000039,Service Agreement,Staff_204,Pending,I'm sorry to say that I have a dispute for this transaction. The reason for this dispute is the product type which was Sports Equipments and the dispute type was Billing Descriptor Issue. The billing descriptor for this transaction was not clear and was not recognized by me. I would like to report a charge,resolved in favor of merchant,2020-09-22 09:48:06.486486486,0,True
DS000067,C000057,2020-03-14 12:07:55.675675676,2020-04-03 12:07:55.675675676,Billing Descriptor Issue,Automotive Appliances,47169.09,MC000022,Bank Statement,Staff_319,Pending,I'm not sure what to think about this purchase. The product I received was not what I expected. The billing descriptor doesn't match the description of the product I received. I'm not sure if this is a mistake or if the company is trying to get away with something. I'm not,resolved in favor of member,2020-07-07 12:07:55.675675676,0,False
DS000068,C000047,2020-03-15 14:27:44.864864865,2020-04-21 14:27:44.864864865,Failure to Receive Credit,Fashion hub,51639.54,MC000071,Fraud Report,Staff_105,Resolved,I am very disappointed in this company and will not be doing business with them again.,resolved in favor of merchant,2020-08-21 14:27:44.864864865,122,False
DS000069,C000084,2020-03-16 16:47:34.054054054,2020-05-24 16:47:34.054054054,Service Not Rendered,Art and Craft,80302.92,MC000062,Receipt,Staff_332,Pending,"I recently purchased a \*PRODUCT_TYPE\* from \*MERCHANT_NAME\*. I was very excited to receive my order, but it never arrived. I tried contacting the merchant multiple times, but they never responded to my inquiries. I was charged \*AMOUNT\*",resolved in favor of merchant,2020-10-04 16:47:34.054054054,0,False
DS000070,C000057,2020-03-17 19:07:23.243243243,2020-05-14 19:07:23.243243243,Identity Theft,Fashion hub,99316.18,MC000079,Receipt,Staff_386,Rejected,"I recently purchased a product from Fashion hub and was charged $99316.18. I received the product but was unhappy with the quality and decided to return it. I contacted the merchant, MC000079, to initiate a return, but they refused. I am disappointed",resolved in favor of merchant,2020-07-25 19:07:23.243243243,0,False
